locus,locus_coords,cell_type,group,dataset,normalisation,resolution_bp,chrom,bin1_start,bin2_start,observed,expected,oe
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67490158,11.928383,6.618052795918368,1.802400701208781
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67500158,13.034062,5.677543106382977,2.295722243895684
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67510158,9.410429,5.984221102564103,1.572540325418098
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67520158,15.236912,4.813667547619047,3.165343648947368
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67530158,9.682505,4.232335594594594,2.287745095725914
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67540158,5.354449,4.586557750000001,1.167422126103176
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67550158,6.997573,4.633743694444444,1.510133805715157
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67560158,5.774091,3.854074885714285,1.498178206501007
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67570158,8.855865,3.980511733333333,2.224805651454262
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67580158,7.112076,3.705763133333333,1.91919336020883
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67590158,2.111882,3.717685000000001,0.5680637278306256
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67600158,2.285736,3.102482117647059,0.7367442948336851
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67610158,2.066985,2.997829083333333,0.6894939446319891
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67620158,5.341623,2.796502562500001,1.910108387393977
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67640158,2.405705,3.088898777777778,0.7788228663584496
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67660158,2.066827,2.900565875,0.7125599241906547
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67680158,1.128443,3.164684291666667,0.3565736408435581
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67690158,0.941667,3.456533,0.2724310747214044
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67700158,3.467402,3.674563391304348,0.9436228554950001
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67740158,4.021429,3.967293411764707,1.013645471261278
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67750158,2.146153,3.399288956521739,0.6313535058214093
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67760158,3.132985,3.578643052631579,0.8754673081172872
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67780158,2.016873,3.771516294117647,0.5347644933009235
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67810158,5.797171,3.567065615384616,1.625193261093103
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67820158,5.523722,3.458530875,1.5971295904652
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67860158,2.415544,3.559174428571429,0.6786809830417736
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67870158,2.660052,2.7582502,0.9643983711122363
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67880158,3.712858,3.87086088888889,0.9591814602941613
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67910158,2.889868,3.634286444444445,0.795167922005047
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67930158,6.897967,4.141025600000001,1.665762945295484
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,67940158,3.638433,2.974246166666667,1.223312663483302
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,68010158,5.551187,2.924300666666667,1.898295569698601
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67240158,68020158,4.931323,4.8324885,1.020452092126034
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67250158,234.930854,238.915357962963,0.9833225289619907
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67260158,190.14764,175.8224042374999,1.081475599339147
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67270158,98.741989,78.5734573544304,1.256683774962238
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67280158,79.9699,48.22023324358973,1.658430385353455
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67290158,42.6079,35.19439464935066,1.210644491104669
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67300158,26.959517,28.28703594736842,0.9530697047991017
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67310158,24.602194,23.48217285135135,1.047696657193467
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67320158,6.174768,21.85783246575343,0.2824968125121532
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67330158,28.018424,19.13965694366197,1.463893740753708
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67340158,21.641265,16.47935097101449,1.313235274742603
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67350158,21.969632,15.435738,1.423296508401477
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67360158,31.532973,15.30948,2.059702419677219
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67370158,8.821514,12.85724312307692,0.6861124049343547
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67380158,14.899951,10.92231856923077,1.364174731359201
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67390158,13.249329,12.21234818032787,1.084912484017
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67400158,25.559801,10.59372723728813,2.412729762385595
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67410158,22.781078,9.681064453124998,2.353158385661443
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67420158,9.585301,9.061600105263157,1.057793423750036
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67430158,11.661532,9.19484798275862,1.268268058576574
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67440158,23.61577,8.384074381818182,2.816741470139325
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67460158,11.960419,7.803352653846154,1.532728242661812
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67470158,11.567112,7.901594040816327,1.463896011393289
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67480158,11.183888,6.914754239130434,1.61739486512921
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67490158,11.605049,6.61317488888889,1.754837758713775
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67500158,18.260289,6.618052795918368,2.759163391875914
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67510158,14.648556,5.677543106382977,2.580087147824798
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67520158,6.588398,5.984221102564103,1.100961660186155
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67530158,10.048051,4.813667547619047,2.087400282757375
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67540158,2.083724,4.232335594594594,0.4923343041750439
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67550158,1.361579,4.586557750000001,0.2968629360439209
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67560158,4.494062,4.633743694444444,0.9698555415113025
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67570158,6.892652,3.854074885714285,1.788406350262851
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67580158,1.383859,3.980511733333333,0.3476585657093738
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67590158,3.287419,3.705763133333333,0.8871098561129479
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67610158,3.21753,3.102482117647059,1.037082528759326
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67640158,1.872396,2.776186965517242,0.6744488117179626
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67650158,4.347864,3.088898777777778,1.407577364230741
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67660158,1.608642,2.748317263157894,0.5853188864198395
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67670158,2.229957,2.900565875,0.7688006741098409
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67680158,2.634853,2.738861086956522,0.9620250594483061
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67690158,2.19874,3.164684291666667,0.694773884962169
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67700158,2.698731,3.456533,0.780762399780358
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67720158,6.135302,3.776619318181818,1.624548699007801
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67740158,1.564969,3.296087409090909,0.4747959643557004
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67760158,4.876899,3.399288956521739,1.43468209451373
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67780158,3.139524,3.2466108,0.9670158184652131
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67800158,8.551174,4.460680411764706,1.917011130733986
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67810158,2.256012,3.829435692307692,0.5891238765366194
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67820158,2.149598,3.567065615384616,0.6026236217043127
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67840158,4.448619,4.176568166666666,1.06513741006422
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67850158,2.868955,3.721094700000001,0.7709975776751932
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67860158,5.640162,4.309279928571429,1.308840941755615
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67870158,4.140717,3.559174428571429,1.163392545968024
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67880158,5.779547,2.7582502,2.095367200553452
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67890158,8.567071,3.87086088888889,2.213221101432848
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67900158,4.19759,4.157847444444445,1.009558444865181
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67910158,4.498455,2.799693333333333,1.606767050676979
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67950158,5.216964,2.974246166666667,1.754045801073292
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67960158,2.75426,2.423464625,1.136496886147038
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67970158,2.000453,2.98519925,0.6701237781699161
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,67990158,2.853332,2.674504,1.066863986742962
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67250158,68010158,2.160286,1.940273,1.113392806063889
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67260158,210.771065,238.915357962963,0.8821997329810588
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67270158,197.066665,175.8224042374999,1.120827950536972
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67280158,80.427707,78.5734573544304,1.02359893159856
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67290158,59.781932,48.22023324358973,1.239768619492259
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67300158,48.33339,35.19439464935066,1.373326362949441
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67310158,29.404766,28.28703594736842,1.039513862629908
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67320158,19.372863,23.48217285135135,0.8250029979182755
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67330158,25.115907,21.85783246575343,1.149057530720454
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67340158,26.674144,19.13965694366197,1.393658417103084
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67350158,25.601847,16.47935097101449,1.55357131752525
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67360158,24.497523,15.435738,1.587065224869715
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67370158,23.722998,15.30948,1.549562623942812
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67380158,13.356418,12.85724312307692,1.038824409878905
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67390158,11.876789,10.92231856923077,1.087387162782274
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67400158,20.366204,12.21234818032787,1.667673055113732
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67410158,17.868475,10.59372723728813,1.686703329221653
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67420158,8.59233,9.681064453124998,0.8875397991205853
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67430158,20.906953,9.061600105263157,2.307203226487211
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67440158,16.93547,9.19484798275862,1.841843392273143
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67450158,9.44327,8.384074381818182,1.126334234400258
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67460158,10.721401,8.137684056603774,1.317500277158036
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67470158,6.912559,7.803352653846154,0.8858447524594323
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67480158,21.721512,7.901594040816327,2.749003794398416
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67490158,8.322276,6.914754239130434,1.203553403663204
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67500158,12.731171,6.61317488888889,1.925122382804399
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67510158,13.131065,6.618052795918368,1.984128172579475
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67520158,7.087062,5.677543106382977,1.248262120992507
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67530158,11.258927,5.984221102564103,1.881435663394156
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67540158,9.339321,4.813667547619047,1.940167431093044
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67550158,2.441057,4.232335594594594,0.5767635730771542
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67560158,5.371343,4.586557750000001,1.171105498453606
C3,"chrX:67,746,500-67,748,100",22Rv1,mCRPC,GSE118629:22Rv1:10000:NORM,NORM,10000,chrX,67260158,67570158,6.178621,4.633743694444444,1.333397228553613
